Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/35471016?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,2BR Sweet Adelaine Signature,$57,4 guests · 2 bedrooms · 3 beds · 2 baths
https://www.airbnb.com/rooms/49200032?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Luxury Villa in the Middle of Kemang,$229,10 guests · 5 bedrooms · 6 beds · 5.5 baths
https://www.airbnb.com/rooms/42980358?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,"🌾New Bohemian Apartment, Brooklyn Alam Sutera",$46,3 guests · 1 bedroom · 2 beds · 1 bath
https://www.airbnb.com/rooms/32514865?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,A bohemian-style NEW condo in very strategic area,$41,3 guests · Studio · 2 beds · 1 bath
https://www.airbnb.com/rooms/33818303?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,"Nice, fancy&lux 3 BR, 167m2 st moritz west jakarta",$154,12 guests · 3 bedrooms · 6 beds · 3.5 baths
https://www.airbnb.com/rooms/27867035?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Apartemen Casa de Parco,$21,2 guests · Studio · 1 bed · 1.5 baths
https://www.airbnb.com/rooms/8724219?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Speed Wireless & Small Ubud Ambience at Bintaro,$16,4 guests · 1 bedroom · 2 beds · 1 bath
https://www.airbnb.com/rooms/51716340?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Japanese Cozy Style Studio at Bintaro Embarcadero,$31,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/23969505?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,"Brooklyn Apartment, 1 BR, Alam Sutera, 45m2",$37,3 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/52110779?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Tuscany 7 - Cozy Studio Apt Serpong- NETFLIX ready,$27,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/39232381?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Apartment Tangerang Apartemen Skandinavia tangcity,$45,4 guests · 1 bedroom · 2 beds · 1 bath
https://www.airbnb.com/rooms/40499002?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Ini Koskosan di Atas Ini Warung,$13,1 guest · 1 bedroom · 2 beds · 1 private bath
https://www.airbnb.com/rooms/52467429?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Angel's Den @1park residence 2 bedroom apartment with private lift and homey ambience in the middle of south jakarta,$47,4 guests · 2 bedrooms · 2 beds · 2 baths
https://www.airbnb.com/rooms/17104224?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,"Fresh, Eclectic & Effortlessly Cool Studio Kemang",$31,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/52619211?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Cheerful 2 Bedroom in BSD. Comfortable House,$24,2 guests · 2 bedrooms · 2 beds · 2 baths
https://www.airbnb.com/rooms/42891621?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=edba90da-5e9e-4d1b-a15a-54d93e7d0441,Tangerang 1Br Skandinavia Apartement (Lt 32),$45,5 guests · 1 bedroom · 2 beds · 1 bath
